GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Cluster
GO:0032197,3.269540762224439e-54,48.859836901121305,2.8703229113275244,51,105,"transposition, RNA-mediated",1
GO:0015074,7.996459237332545e-32,54.67906336088154,1.3668204339654877,28,50,DNA integration,1
GO:0006278,1.6262751426510076e-25,25.4816247582205,2.0502306509482318,28,75,RNA-dependent DNA biosynthetic process,1
GO:0090502,1.0932437570745503e-19,12.04744787922358,3.7450879890654365,30,137,"RNA phosphodiester bond hydrolysis, endonucleolytic",1
GO:0006310,9.762410789678106e-15,6.620545687603003,6.77942935246882,33,248,DNA recombination,1
GO:0090305,3.2491426586473896e-11,5.153530895334174,7.490175978130873,30,274,nucleic acid phosphodiester bond hydrolysis,1
GO:0032508,7.63244766920498e-8,9.15081081081081,1.694857338117205,12,62,DNA duplex unwinding,1
GO:0006508,5.063190177267195e-7,3.2084172372130486,11.26260037587562,30,412,proteolysis,1
GO:0055072,1.9889059458989848e-5,7.009519867549669,1.558175294720656,9,57,iron ion homeostasis,1
GO:0015891,9.934207161687512e-5,24.303418803418804,0.27336408679309754,4,10,siderophore transport,1
GO:0006826,4.3751480675677387e-4,7.116045245077503,1.011447121134461,6,37,iron ion transport,1
GO:0071103,6.06922227576236e-4,3.0235616438356163,5.166581240389544,14,189,DNA conformation change,1
GO:0046034,5.8750544304818205e-33,27.898636551439196,2.630616777720827,36,89,ATP metabolic process,2
GO:0022900,2.888445450610397e-31,40.88015432843019,1.7438920211857167,30,59,electron transport chain,2
GO:0042773,3.9783674413516874e-30,91.32885906040268,1.004954724073125,24,34,ATP synthesis coupled electron transport,2
GO:0009060,1.305464598929199e-23,20.89973474801061,2.364599350760294,28,80,aerobic respiration,2
GO:0015980,1.5422108276679675e-23,15.524531590413943,3.357793435298161,32,117,energy derivation by oxidation of organic compounds,2
GO:0006123,1.8012597916437308e-17,115.29375,0.5024773620365625,13,17,"mitochondrial electron transport, cytochrome c to oxygen",2
GO:0006122,1.2837316164905799e-16,385.6111111111111,0.3546899026140441,11,12,"mitochondrial electron transport, ubiquinol to cytochrome c",2
GO:1902600,1.6224029503187011e-15,11.942962962962962,2.807961729027849,23,95,proton transmembrane transport,2
GO:0006793,5.436337768573245e-13,3.677560414269275,22.1294964028777,58,769,phosphorus metabolic process,2
GO:0009206,1.0897090662025127e-11,32.07201646090535,0.67982231334358445,11,23,purine ribonucleoside triphosphate biosynthetic process,2
GO:0098660,2.0231811182758838e-11,6.358016179444751,5.083888604134632,25,172,inorganic ion transmembrane transport,2
GO:0055085,3.874391259865236e-11,4.02398401065956,12.857508969759097,40,435,transmembrane transport,2
GO:0098655,3.9853028643691984e-11,5.875092205556921,5.6750384418247055,26,192,cation transmembrane transport,2
GO:0009144,5.764195980035145e-11,25.644032921810698,0.7684947889970956,11,26,purine nucleoside triphosphate metabolic process,2
GO:0016310,1.9598487959095286e-10,4.076048209132575,11.231846916111396,36,380,phosphorylation,2
GO:0009199,3.6768736945096406e-10,20.230994152046783,0.8867247565351102,11,30,ribonucleoside triphosphate metabolic process,2
GO:0009142,1.205889032608157e-9,17.462962962962962,0.9753972321886212,11,33,nucleoside triphosphate biosynthetic process,2
GO:0006811,2.0703753915817654e-9,3.841726618705036,11.054501964804373,34,374,ion transport,2
GO:0042776,2.1318461488069054e-8,Inf,0.14778745942251836,5,5,mitochondrial ATP synthesis coupled proton transport,2
GO:0006163,8.094509884885816e-8,6.189975076156189,3.1922091235263967,16,108,purine nucleotide metabolic process,2
GO:0009152,8.296312160137633e-8,9.128814474750202,1.714334529301213,12,58,purine ribonucleotide biosynthetic process,2
GO:0009259,1.756914314580696e-7,5.804757571818536,3.369554074833419,16,114,ribonucleotide metabolic process,2
GO:0072522,7.26593163452794e-7,7.224673377596916,2.069024431915257,12,70,purine-containing compound biosynthetic process,2
GO:0006753,7.40807922990194e-7,4.368797868797869,5.172561079788143,19,175,nucleoside phosphate metabolic process,2
GO:0046390,1.5686336729108519e-6,6.645371191955043,2.2168118913377755,12,75,ribose phosphate biosynthetic process,2
GO:0015986,2.076043141969968e-6,23.337448559670783,0.43091655266757867,6,15,ATP synthesis coupled proton transport,2
GO:0009165,4.4143224135577705e-6,5.015274034141958,3.3104390910644113,14,112,nucleotide biosynthetic process,2
GO:0005984,5.351550616477047e-6,13.264390896921018,0.7389372971125918,7,25,disaccharide metabolic process,2
GO:0044281,1.0164379256079407e-5,2.3340084125253155,21.517854091918675,42,728,small molecule metabolic process,2
GO:0009312,1.0561790229036725e-5,67.19526627218934,0.17734495130702205,4,6,oligosaccharide biosynthetic process,2
GO:0006797,5.0274552651352e-5,16.875,0.4433623782675551,5,15,polyphosphate metabolic process,2
GO:0015990,9.934537360489609e-5,100.21764705882353,0.1182299675380147,3,4,electron transport coupled proton transport,2
GO:0034637,2.095110763496091e-4,5.688888888888889,1.6552195455322056,8,56,cellular carbohydrate biosynthetic process,2
GO:0005992,2.429576902881039e-4,50.1,0.14778745942251836,3,5,trehalose biosynthetic process,2
GO:0070413,2.429576902881039e-4,50.1,0.14778745942251836,3,5,trehalose metabolism in response to stress,2
GO:0006112,4.130352980909074e-4,7.25235243798118,1.004954724073125,6,34,energy reserve metabolic process,2
GO:0006314,4.597840610375962e-4,33.791666666666664,0.1753546402324389,3,6,intron homing,2
GO:0032780,4.753535903471711e-4,33.39411764705882,0.17734495130702205,3,6,negative regulation of ATPase activity,2
GO:0006839,6.288972014750405e-4,3.8540015165092716,2.926191696565864,10,99,mitochondrial transport,2
GO:0006091,0.00068716958412126195,6.4018583042973285,1.091292875989446,6,47,generation of precursor metabolites and energy,2
GO:0009068,8.138121651638273e-4,25.041176470588237,0.2069024431915257,3,7,aspartate family amino acid catabolic process,2
GO:0006315,8.687437806108392e-4,Inf,0.05911498376900735,2,2,homing of group II introns,2
GO:0034403,8.687437806108392e-4,Inf,0.05911498376900735,2,2,alignment of 3' and 5' splice sites of mRNA,2
GO:0006979,8.916891028027331e-4,3.4066844622400176,3.606014009909448,11,122,response to oxidative stress,2
